task_count: 100, period: 100, priority: 98
Release         Start           Finish          Latency         ExTime
1001097         1001221         1001737         124             516            
1101097         1101205         1101653         108             448            
1201097         1201212         1201668         115             456            
1301097         1301209         1301657         112             448            
1401097         1401207         1401650         110             443            
1501097         1501216         1501664         119             448            
1601097         1601213         1601656         116             443            
1701097         1701224         1701682         127             458            
1801097         1801221         1801665         124             444            
1901097         1901244         1901708         147             464            
2001097         2001230         2001673         133             443            
2101097         2101233         2101683         136             450            
2201097         2201242         2201695         145             453            
2301097         2301241         2301692         144             451            
2401097         2401243         2401685         146             442            
2501097         2501250         2501696         153             446            
2601097         2601251         2601697         154             446            
2701097         2701254         2701711         157             457            
2801097         2801253         2801697         156             444            
2901097         2901275         2901741         178             466            
3001097         3001259         3001702         162             443            
3101097         3101267         3101715         170             448            
3201097         3201275         3201734         178             459            
3301097         3301271         3301720         174             449            
3401097         3401273         3401715         176             442            
3501097         3501282         3501731         185             449            
3601097         3601278         3601719         181             441            
3701097         3701290         3701746         193             456            
3801097         3801282         3801728         185             446            
3901097         3901315         3901773         218             458            
4001097         4001290         4001735         193             445            
4101097         4101297         4101744         200             447            
4201097         4201305         4201762         208             457            
4301097         4301305         4301755         208             450            
4401097         4401303         4401746         206             443            
4501097         4501310         4501760         213             450            
4601097         4601311         4601751         214             440            
4701097         4701320         4701775         223             455            
4801097         4801315         4801761         218             446            
4901097         4901339         4901797         242             458            
5001097         5001323         5001767         226             444            
5101097         5101330         5101784         233             454            
5201097         5201337         5201796         240             459            
5301097         5301336         5301785         239             449            
5401097         5401337         5401781         240             444            
5501097         5501341         5501792         244             451            
5601097         5601339         5601779         242             440            
5701097         5701352         5701807         255             455            
5801097         5801348         5801792         251             444            
5901097         5901369         5901829         272             460            
6001097         6001379         6001850         282             471            
6101097         6101367         6101815         270             448            
6201097         6201369         6201826         272             457            
6301097         6301367         6301816         270             449            
6401097         6401367         6401810         270             443            
6501097         6501373         6501823         276             450            
6601097         6601372         6601814         275             442            
6701097         6701386         6701842         289             456            
6801097         6801381         6801824         284             443            
6901097         6901403         6901863         306             460            
7001097         7001390         7001888         293             498            
7101097         7101395         7101845         298             450            
7201097         7201402         7201855         305             453            
7301097         7301400         7301848         303             448            
7401097         7401398         7401844         301             446            
7501097         7501405         7501855         308             450            
7601097         7601410         7601857         313             447            
7701097         7701415         7701871         318             456            
7801097         7801412         7801859         315             447            
7901097         7901434         7901899         337             465            
8001097         8001418         8001860         321             442            
8101097         8101423         8101871         326             448            
8201097         8201434         8201887         337             453            
8301097         8301431         8301877         334             446            
8401097         8401430         8401874         333             444            
8501097         8501437         8501882         340             445            
8601097         8601435         8601875         338             440            
8701097         8701448         8701903         351             455            
8801097         8801443         8801885         346             442            
8901097         8901472         8901933         375             461            
9001097         9001447         9001889         350             442            
9101097         9101477         9101925         380             448            
9201097         9201464         9201920         367             456            
9301097         9301490         9301939         393             449            
9401097         9401464         9401905         367             441            
9501097         9501497         9501943         400             446            
9601097         9601468         9601909         371             441            
9701097         9701510         9701959         413             449            
9801097         9801470         9801913         373             443            
9901097         9901493         9901980         396             487            
10001097        10001481        10001926        384             445            
10101097        10101490        10101977        393             487            
10201097        10201496        10201954        399             458            
10301097        10301495        10301974        398             479            
10401097        10401493        10401937        396             444            
10501097        10501501        10501977        404             476            
10601097        10601497        10601940        400             443            
10701097        10701512        10701999        415             487            
10801097        10801509        10801957        412             448            
10901097        10901528        10902019        431             491            

Total 100, priority 98, AVG 452, WCET 516
