task_count: 100, period: 100, priority: 98
Release         Start           Finish          Latency         ExTime
1000954         1001076         1001593         122             517            
1100954         1101062         1101510         108             448            
1200954         1201077         1201535         123             458            
1300954         1301068         1301518         114             450            
1400954         1401069         1401520         115             451            
1500954         1501080         1501536         126             456            
1600954         1601075         1601517         121             442            
1700954         1701080         1701528         126             448            
1800954         1801081         1801522         127             441            
1900954         1901086         1901530         132             444            
2000954         2001091         2001542         137             451            
2100954         2101093         2101541         139             448            
2200954         2201108         2201564         154             456            
2300954         2301100         2301550         146             450            
2400954         2401101         2401551         147             450            
2500954         2501112         2501565         158             453            
2600954         2601107         2601550         153             443            
2700954         2701112         2701558         158             446            
2800954         2801110         2801551         156             441            
2900954         2901122         2901569         168             447            
3000954         3001124         3001573         170             449            
3100954         3101127         3101572         173             445            
3200954         3201142         3201592         188             450            
3300954         3301133         3301581         179             448            
3400954         3401132         3401581         178             449            
3500954         3501142         3501594         188             452            
3600954         3601137         3601581         183             444            
3700954         3701145         3701593         191             448            
3800954         3801144         3801584         190             440            
3900954         3901151         3901598         197             447            
4000954         4001155         4001603         201             448            
4100954         4101161         4101615         207             454            
4200954         4201172         4201625         218             453            
4300954         4301164         4301611         210             447            
4400954         4401165         4401614         211             449            
4500954         4501173         4501624         219             451            
4600954         4601165         4601606         211             441            
4700954         4701173         4701617         219             444            
4800954         4801172         4801614         218             442            
4900954         4901178         4901623         224             445            
5000954         5001189         5001637         235             448            
5100954         5101189         5101640         235             451            
5200954         5201216         5201687         262             471            
5300954         5301194         5301642         240             448            
5400954         5401198         5401647         244             449            
5500954         5501206         5501690         252             484            
5600954         5601199         5601640         245             441            
5700954         5701206         5701653         252             447            
5800954         5801204         5801646         250             442            
5900954         5901211         5901657         257             446            
6000954         6001217         6001668         263             451            
6100954         6101220         6101665         266             445            
6200954         6201235         6201691         281             456            
6300954         6301226         6301675         272             449            
6400954         6401232         6401689         278             457            
6500954         6501235         6501686         281             451            
6600954         6601233         6601677         279             444            
6700954         6701239         6701686         285             447            
6800954         6801236         6801678         282             442            
6900954         6901243         6901689         289             446            
7000954         7001246         7001697         292             451            
7100954         7101250         7101697         296             447            
7200954         7201284         7201738         330             454            
7300954         7301255         7301703         301             448            
7400954         7401280         7401731         326             451            
7500954         7501269         7501721         315             452            
7600954         7601292         7601733         338             441            
7700954         7701269         7701715         315             446            
7800954         7801298         7801738         344             440            
7900954         7901277         7901724         323             447            
8000954         8001277         8001758         323             481            
8100954         8101280         8101725         326             445            
8200954         8201297         8201780         343             483            
8300954         8301289         8301738         335             449            
8400954         8401289         8401770         335             481            
8500954         8501300         8501755         346             455            
8600954         8601295         8601769         341             474            
8700954         8701301         8701745         347             444            
8800954         8801305         8801776         351             471            
8900954         8901311         8901761         357             450            
9000954         9001315         9001795         361             480            
9100954         9101318         9101774         364             456            
9200954         9201329         9201814         375             485            
9300954         9301316         9301766         362             450            
9400954         9401326         9401809         372             483            
9500954         9501331         9501788         377             457            
9600954         9601344         9601817         390             473            
9700954         9701332         9701780         378             448            
9800954         9801353         9801824         399             471            
9900954         9901338         9901788         384             450            
10000954        10001373        10001853        419             480            
10100954        10101348        10101802        394             454            
10200954        10201398        10201881        444             483            
10300954        10301350        10301796        396             446            
10400954        10401350        10401861        396             511            
10500954        10501362        10501817        408             455            
10600954        10601364        10601864        410             500            
10700954        10701361        10701809        407             448            
10800954        10801395        10801887        441             492            
10900954        10901371        10901821        417             450            

Total 100, priority 98, AVG 454, WCET 517
