task_count: 100, period: 100, priority: 98
Release         Start           Finish          Latency         ExTime
1000885         1001010         1001527         125             517            
1100885         1101007         1101471         122             464            
1200885         1201002         1201447         117             445            
1300885         1300993         1301437         108             444            
1400885         1401008         1401467         123             459            
1500885         1501003         1501445         118             442            
1600885         1601009         1601453         124             444            
1700885         1701006         1701446         121             440            
1800885         1801012         1801455         127             443            
1900885         1901020         1901471         135             451            
2000885         2001019         2001461         134             442            
2100885         2101035         2101489         150             454            
2200885         2201022         2201470         137             448            
2300885         2301025         2301470         140             445            
2400885         2401039         2401497         154             458            
2500885         2501032         2501474         147             442            
2600885         2601036         2601481         151             445            
2700885         2701038         2701479         153             441            
2800885         2801044         2801486         159             442            
2900885         2901051         2901502         166             451            
3000885         3001051         3001493         166             442            
3100885         3101068         3101525         183             457            
3200885         3201054         3201501         169             447            
3300885         3301057         3301499         172             442            
3400885         3401069         3401528         184             459            
3500885         3501062         3501505         177             443            
3600885         3601076         3601524         191             448            
3700885         3701069         3701510         184             441            
3800885         3801074         3801518         189             444            
3900885         3901081         3901535         196             454            
4000885         4001081         4001524         196             443            
4100885         4101103         4101560         218             457            
4200885         4201090         4201537         205             447            
4300885         4301089         4301529         204             440            
4400885         4401102         4401559         217             457            
4500885         4501094         4501540         209             446            
4600885         4601099         4601545         214             446            
4700885         4701100         4701544         215             444            
4800885         4801104         4801552         219             448            
4900885         4901114         4901566         229             452            
5000885         5001114         5001562         229             448            
5100885         5101136         5101594         251             458            
5200885         5201122         5201569         237             447            
5300885         5301120         5301562         235             442            
5400885         5401137         5401593         252             456            
5500885         5501126         5501569         241             443            
5600885         5601130         5601634         245             504            
5700885         5701131         5701575         246             444            
5800885         5801134         5801579         249             445            
5900885         5901146         5901599         261             453            
6000885         6001141         6001589         256             448            
6100885         6101171         6101628         286             457            
6200885         6201159         6201617         274             458            
6300885         6301151         6301597         266             446            
6400885         6401166         6401627         281             461            
6500885         6501157         6501601         272             444            
6600885         6601164         6601608         279             444            
6700885         6701163         6701605         278             442            
6800885         6801167         6801614         282             447            
6900885         6901175         6901626         290             451            
7000885         7001176         7001622         291             446            
7100885         7101182         7101629         297             447            
7200885         7201191         7201650         306             459            
7300885         7301182         7301626         297             444            
7400885         7401195         7401652         310             457            
7500885         7501190         7501633         305             443            
7600885         7601195         7601638         310             443            
7700885         7701195         7701636         310             441            
7800885         7801202         7801647         317             445            
7900885         7901207         7901658         322             451            
8000885         8001209         8001654         324             445            
8100885         8101213         8101657         328             444            
8200885         8201223         8201681         338             458            
8300885         8301213         8301657         328             444            
8400885         8401227         8401685         342             458            
8500885         8501222         8501668         337             446            
8600885         8601225         8601669         340             444            
8700885         8701230         8701673         345             443            
8800885         8801235         8801680         350             445            
8900885         8901247         8901689         362             442            
9000885         9001253         9001702         368             449            
9100885         9101245         9101690         360             445            
9200885         9201255         9201713         370             458            
9300885         9301245         9301687         360             442            
9400885         9401259         9401715         374             456            
9500885         9501254         9501699         369             445            
9600885         9601260         9601707         375             447            
9700885         9701261         9701704         376             443            
9800885         9801263         9801707         378             444            
9900885         9901266         9901705         381             439            
10000885        10001275        10001728        390             453            
10100885        10101282        10101732        397             450            
10200885        10201288        10201741        403             453            
10300885        10301281        10301723        396             442            
10400885        10401291        10401746        406             455            
10500885        10501285        10501730        400             445            
10600885        10601289        10601736        404             447            
10700885        10701290        10701730        405             440            
10800885        10801295        10801739        410             444            
10900885        10901321        10901767        436             446            

Total 100, priority 98, AVG 449, WCET 517
