task_count: 100, period: 100, priority: 98
Release         Start           Finish          Latency         ExTime
1000756         1000891         1001389         135             498            
1100756         1100895         1101333         139             438            
1200756         1200873         1201302         117             429            
1300756         1300901         1301344         145             443            
1400756         1400894         1401326         138             432            
1500756         1500918         1501360         162             442            
1600756         1600885         1601316         129             431            
1700756         1700916         1701351         160             435            
1800756         1800891         1801320         135             429            
1900756         1900884         1901350         128             466            
2000756         2000917         2001366         161             449            
2100756         2100895         2101362         139             467            
2200756         2200910         2201340         154             430            
2300756         2300922         2301411         166             489            
2400756         2400919         2401353         163             434            
2500756         2500921         2501394         165             473            
2600756         2600922         2601359         166             437            
2700756         2700930         2701406         174             476            
2800756         2800923         2801353         167             430            
2900756         2900921         2901384         165             463            
3000756         3000951         3001397         195             446            
3100756         3100928         3101397         172             469            
3200756         3200933         3201363         177             430            
3300756         3300937         3301415         181             478            
3400756         3400950         3401383         194             433            
3500756         3500953         3501428         197             475            
3600756         3600948         3601381         192             433            
3700756         3700954         3701423         198             469            
3800756         3800955         3801384         199             429            
3900756         3900952         3901419         196             467            
4000756         4000979         4001425         223             446            
4100756         4100967         4101435         211             468            
4200756         4200966         4201397         210             431            
4300756         4300969         4301450         213             481            
4400756         4400976         4401410         220             434            
4500756         4500999         4501475         243             476            
4600756         4600977         4601409         221             432            
4700756         4701009         4701480         253             471            
4800756         4800986         4801415         230             429            
4900756         4901004         4901475         248             471            
5000756         5001012         5001460         256             448            
5100756         5101026         5101503         270             477            
5200756         5200997         5201425         241             428            
5300756         5301032         5301508         276             476            
5400756         5401030         5401483         274             453            
5500756         5501058         5501543         302             485            
5600756         5601012         5601448         256             436            
5700756         5701008         5701509         252             501            
5800756         5801016         5801446         260             430            
5900756         5901010         5901509         254             499            
6000756         6001043         6001492         287             449            
6100756         6101025         6101527         269             502            
6200756         6201027         6201456         271             429            
6300756         6301032         6301541         276             509            
6400756         6401041         6401472         285             431            
6500756         6501043         6501521         287             478            
6600756         6601040         6601473         284             433            
6700756         6701040         6701516         284             476            
6800756         6801047         6801476         291             429            
6900756         6901040         6901514         284             474            
7000756         7001074         7001522         318             448            
7100756         7101054         7101531         298             477            
7200756         7201060         7201487         304             427            
7300756         7301065         7301550         309             485            
7400756         7401074         7401505         318             431            
7500756         7501076         7501556         320             480            
7600756         7601078         7601514         322             436            
7700756         7701084         7701566         328             482            
7800756         7801080         7801511         324             431            
7900756         7901073         7901546         317             473            
8000756         8001101         8001550         345             449            
8100756         8101085         8101561         329             476            
8200756         8201092         8201521         336             429            
8300756         8301098         8301579         342             481            
8400756         8401103         8401535         347             432            
8500756         8501106         8501584         350             478            
8600756         8601107         8601538         351             431            
8700756         8701106         8701578         350             472            
8800756         8801114         8801542         358             428            
8900756         8901104         8901575         348             471            
9000756         9001136         9001582         380             446            
9100756         9101115         9101591         359             476            
9200756         9201120         9201549         364             429            
9300756         9301127         9301606         371             479            
9400756         9401137         9401570         381             433            
9500756         9501140         9501618         384             478            
9600756         9601138         9601568         382             430            
9700756         9701137         9701571         381             434            
9800756         9801143         9801571         387             428            
9900756         9901136         9901569         380             433            
10000756        10001174        10001620        418             446            
10100756        10101155        10101596        399             441            
10200756        10201152        10201583        396             431            
10300756        10301158        10301602        402             444            
10400756        10401168        10401600        412             432            
10500756        10501167        10501608        411             441            
10600756        10601166        10601598        410             432            
10700756        10701167        10701604        411             437            
10800756        10801174        10801603        418             429            
10900756        10901167        10901602        411             435            

Total 100, priority 98, AVG 452, WCET 509
