task_count: 100, period: 100, priority: 98
Release         Start           Finish          Latency         ExTime
1001074         1001203         1001700         129             497            
1101074         1101190         1101622         116             432            
1201074         1201193         1201629         119             436            
1301074         1301192         1301620         118             428            
1401074         1401202         1401643         128             441            
1501074         1501196         1501624         122             428            
1601074         1601218         1601665         144             447            
1701074         1701201         1701629         127             428            
1801074         1801219         1801662         145             443            
1901074         1901221         1901651         147             430            
2001074         2001223         2001664         149             441            
2101074         2101220         2101649         146             429            
2201074         2201222         2201659         148             437            
2301074         2301220         2301650         146             430            
2401074         2401243         2401685         169             442            
2501074         2501229         2501659         155             430            
2601074         2601274         2601720         200             446            
2701074         2701233         2701668         159             435            
2801074         2801270         2801715         196             445            
2901074         2901251         2901682         177             431            
3001074         3001282         3001726         208             444            
3101074         3101249         3101678         175             429            
3201074         3201283         3201718         209             435            
3301074         3301253         3301681         179             428            
3401074         3401299         3401739         225             440            
3501074         3501259         3501688         185             429            
3601074         3601295         3601771         221             476            
3701074         3701267         3701697         193             430            
3801074         3801307         3801780         233             473            
3901074         3901278         3901709         204             431            
4001074         4001324         4001795         250             471            
4101074         4101282         4101712         208             430            
4201074         4201334         4201813         260             479            
4301074         4301288         4301717         214             429            
4401074         4401337         4401802         263             465            
4501074         4501289         4501718         215             429            
4601074         4601345         4601815         271             470            
4701074         4701293         4701721         219             428            
4801074         4801312         4801806         238             494            
4901074         4901313         4901746         239             433            
5001074         5001319         5001813         245             494            
5101074         5101319         5101761         245             442            
5201074         5201322         5201807         248             485            
5301074         5301317         5301744         243             427            
5401074         5401337         5401828         263             491            
5501074         5501325         5501753         251             428            
5601074         5601343         5601839         269             496            
5701074         5701326         5701756         252             430            
5801074         5801347         5801840         273             493            
5901074         5901369         5901825         295             456            
6001074         6001355         6001859         281             504            
6101074         6101344         6101776         270             432            
6201074         6201350         6201837         276             487            
6301074         6301349         6301777         275             428            
6401074         6401371         6401865         297             494            
6501074         6501356         6501784         282             428            
6601074         6601377         6601875         303             498            
6701074         6701360         6701787         286             427            
6801074         6801380         6801878         306             498            
6901074         6901377         6901807         303             430            
7001074         7001381         7001879         307             498            
7101074         7101378         7101810         304             432            
7201074         7201383         7201872         309             489            
7301074         7301380         7301808         306             428            
7401074         7401402         7401896         328             494            
7501074         7501388         7501816         314             428            
7601074         7601409         7601909         335             500            
7701074         7701391         7701820         317             429            
7801074         7801409         7801908         335             499            
7901074         7901410         7901840         336             430            
8001074         8001418         8001922         344             504            
8101074         8101410         8101840         336             430            
8201074         8201414         8201881         340             467            
8301074         8301415         8301843         341             428            
8401074         8401433         8401906         359             473            
8501074         8501418         8501847         344             429            
8601074         8601446         8601925         372             479            
8701074         8701422         8701851         348             429            
8801074         8801446         8801923         372             477            
8901074         8901441         8901872         367             431            
9001074         9001455         9001898         381             443            
9101074         9101441         9101871         367             430            
9201074         9201475         9201968         401             493            
9301074         9301458         9301907         384             449            
9401074         9401467         9401913         393             446            
9501074         9501458         9501887         384             429            
9601074         9601475         9601922         401             447            
9701074         9701477         9701906         403             429            
9801074         9801477         9801922         403             445            
9901074         9901499         9901930         425             431            
10001074        10001476        10001919        402             443            
10101074        10101507        10101947        433             440            
10201074        10201485        10201921        411             436            
10301074        10301504        10301931        430             427            
10401074        10401498        10401939        424             441            
10501074        10501478        10501936        404             458            
10601074        10601508        10601952        434             444            
10701074        10701487        10701945        413             458            
10801074        10801506        10801950        432             444            
10901074        10901506        10901966        432             460            

Total 100, priority 98, AVG 450, WCET 504
