task_count: 100, period: 100, priority: 98
Release         Start           Finish          Latency         ExTime
1000921         1001052         1001609         131             557            
1100921         1101037         1101473         116             436            
1200921         1201050         1201549         129             499            
1300921         1301044         1301479         123             435            
1400921         1401049         1401538         128             489            
1500921         1501050         1501486         129             436            
1600921         1601059         1601555         138             496            
1700921         1701051         1701482         130             431            
1800921         1801076         1801574         155             498            
1900921         1901063         1901506         142             443            
2000921         2001074         2001565         153             491            
2100921         2101070         2101510         149             440            
2200921         2201081         2201575         160             494            
2300921         2301074         2301511         153             437            
2400921         2401081         2401572         160             491            
2500921         2501081         2501513         160             432            
2600921         2601091         2601587         170             496            
2700921         2701084         2701516         163             432            
2800921         2801111         2801611         190             500            
2900921         2901098         2901539         177             441            
3000921         3001113         3001607         192             494            
3100921         3101098         3101530         177             432            
3200921         3201120         3201616         199             496            
3300921         3301101         3301537         180             436            
3400921         3401116         3401606         195             490            
3500921         3501112         3501548         191             436            
3600921         3601127         3601624         206             497            
3700921         3701114         3701546         193             432            
3800921         3801142         3801645         221             503            
3900921         3901129         3901568         208             439            
4000921         4001148         4001646         227             498            
4100921         4101131         4101561         210             430            
4200921         4201151         4201625         230             474            
4300921         4301138         4301573         217             435            
4400921         4401157         4401639         236             482            
4500921         4501145         4501582         224             437            
4600921         4601160         4601636         239             476            
4700921         4701144         4701577         223             433            
4800921         4801176         4801661         255             485            
4900921         4901158         4901598         237             440            
5000921         5001176         5001616         255             440            
5100921         5101160         5101592         239             432            
5200921         5201186         5201629         265             443            
5300921         5301168         5301602         247             434            
5400921         5401182         5401619         261             437            
5500921         5501178         5501613         257             435            
5600921         5601189         5601633         268             444            
5700921         5701205         5701640         284             435            
5800921         5801207         5801655         286             448            
5900921         5901219         5901660         298             441            
6000921         6001219         6001674         298             455            
6100921         6101243         6101697         322             454            
6200921         6201220         6201673         299             453            
6300921         6301233         6301670         312             437            
6400921         6401211         6401648         290             437            
6500921         6501248         6501694         327             446            
6600921         6601227         6601671         306             444            
6700921         6701212         6701678         291             466            
6800921         6801238         6801686         317             448            
6900921         6901224         6901695         303             471            
7000921         7001238         7001679         317             441            
7100921         7101227         7101693         306             466            
7200921         7201244         7201686         323             442            
7300921         7301235         7301702         314             467            
7400921         7401244         7401682         323             438            
7500921         7501242         7501707         321             465            
7600921         7601258         7601699         337             441            
7700921         7701247         7701710         326             463            
7800921         7801269         7801716         348             447            
7900921         7901255         7901730         334             475            
8000921         8001268         8001710         347             442            
8100921         8101256         8101722         335             466            
8200921         8201278         8201722         357             444            
8300921         8301269         8301738         348             469            
8400921         8401278         8401716         357             438            
8500921         8501276         8501744         355             468            
8600921         8601287         8601728         366             441            
8700921         8701279         8701743         358             464            
8800921         8801305         8801751         384             446            
8900921         8901288         8901760         367             472            
9000921         9001301         9001741         380             440            
9100921         9101300         9101769         379             469            
9200921         9201307         9201751         386             444            
9300921         9301327         9301800         406             473            
9400921         9401317         9401765         396             448            
9500921         9501338         9501809         417             471            
9600921         9601318         9601761         397             443            
9700921         9701340         9701807         419             467            
9800921         9801334         9801781         413             447            
9900921         9901355         9901831         434             476            
10000921        10001335        10001775        414             440            
10100921        10101360        10101826        439             466            
10200921        10201340        10201783        419             443            
10300921        10301332        10301832        411             500            
10400921        10401336        10401775        415             439            
10500921        10501341        10501840        420             499            
10600921        10601352        10601795        431             443            
10700921        10701344        10701841        423             497            
10800921        10801366        10801813        445             447            
10900921        10901361        10901866        440             505            

Total 100, priority 98, AVG 458, WCET 557
