task_count: 100, period: 100, priority: 98
Release         Start           Finish          Latency         ExTime
1000900         1001028         1001508         128             480            
1100900         1101046         1101554         146             508            
1200900         1201020         1201498         120             478            
1300900         1301038         1301540         138             502            
1400900         1401027         1401506         127             479            
1500900         1501011         1501543         111             532            
1600900         1601035         1601513         135             478            
1700900         1701033         1701566         133             533            
1800900         1801028         1801507         128             479            
1900900         1901032         1901565         132             533            
2000900         2001056         2001534         156             478            
2100900         2101061         2101600         161             539            
2200900         2201059         2201539         159             480            
2300900         2301039         2301572         139             533            
2400900         2401070         2401548         170             478            
2500900         2501050         2501583         150             533            
2600900         2601070         2601547         170             477            
2700900         2701047         2701581         147             534            
2800900         2801060         2801539         160             479            
2900900         2901073         2901614         173             541            
3000900         3001074         3001552         174             478            
3100900         3101076         3101612         176             536            
3200900         3201087         3201566         187             479            
3300900         3301069         3301600         169             531            
3400900         3401079         3401557         179             478            
3500900         3501090         3501621         190             531            
3600900         3601096         3601573         196             477            
3700900         3701094         3701639         194             545            
3800900         3801114         3801592         214             478            
3900900         3901100         3901633         200             533            
4000900         4001119         4001595         219             476            
4100900         4101130         4101673         230             543            
4200900         4201115         4201593         215             478            
4300900         4301117         4301653         217             536            
4400900         4401111         4401591         211             480            
4500900         4501108         4501638         208             530            
4600900         4601133         4601610         233             477            
4700900         4701125         4701657         225             532            
4800900         4801124         4801601         224             477            
4900900         4901138         4901674         238             536            
5000900         5001154         5001630         254             476            
5100900         5101152         5101688         252             536            
5200900         5201146         5201624         246             478            
5300900         5301133         5301642         233             509            
5400900         5401141         5401620         241             479            
5500900         5501138         5501646         238             508            
5600900         5601153         5601630         253             477            
5700900         5701154         5701662         254             508            
5800900         5801167         5801645         267             478            
5900900         5901169         5901681         269             512            
6000900         6001180         6001863         280             683            
6100900         6101211         6101737         311             526            
6200900         6201188         6201665         288             477            
6300900         6301175         6301654         275             479            
6400900         6401173         6401652         273             479            
6500900         6501184         6501662         284             478            
6600900         6601191         6601669         291             478            
6700900         6701177         6701655         277             478            
6800900         6801199         6801677         299             478            
6900900         6901199         6901677         299             478            
7000900         7001198         7001675         298             477            
7100900         7101189         7101665         289             476            
7200900         7201214         7201690         314             476            
7300900         7301208         7301686         308             478            
7400900         7401207         7401684         307             477            
7500900         7501201         7501678         301             477            
7600900         7601227         7601704         327             477            
7700900         7701209         7701687         309             478            
7800900         7801216         7801694         316             478            
7900900         7901219         7901696         319             477            
8000900         8001230         8001707         330             477            
8100900         8101240         8101721         340             481            
8200900         8201252         8201731         352             479            
8300900         8301246         8301722         346             476            
8400900         8401249         8401726         349             477            
8500900         8501236         8501711         336             475            
8600900         8601263         8601739         363             476            
8700900         8701259         8701733         359             474            
8800900         8801249         8801726         349             477            
8900900         8901252         8901730         352             478            
9000900         9001274         9001752         374             478            
9100900         9101282         9101762         382             480            
9200900         9201277         9201755         377             478            
9300900         9301257         9301734         357             477            
9400900         9401270         9401748         370             478            
9500900         9501275         9501752         375             477            
9600900         9601299         9601779         399             480            
9700900         9701273         9701749         373             476            
9800900         9801292         9801768         392             476            
9900900         9901283         9901760         383             477            
10000900        10001301        10001781        401             480            
10100900        10101305        10101784        405             479            
10200900        10201315        10201796        415             481            
10300900        10301299        10301777        399             478            
10400900        10401301        10401777        401             476            
10500900        10501308        10501786        408             478            
10600900        10601315        10601792        415             477            
10700900        10701314        10701790        414             476            
10800900        10801314        10801789        414             475            
10900900        10901347        10901827        447             480            

Total 100, priority 98, AVG 492, WCET 683
