task_count: 100, period: 100, priority: 98
Release         Start           Finish          Latency         ExTime
1000909         1001034         1001513         125             479            
1100909         1101014         1101491         105             477            
1200909         1201012         1201489         103             477            
1300909         1301060         1301536         151             476            
1400909         1401040         1401519         131             479            
1500909         1501040         1501517         131             477            
1600909         1601023         1601500         114             477            
1700909         1701032         1701509         123             477            
1800909         1801049         1801529         140             480            
1900909         1901044         1901522         135             478            
2000909         2001061         2001538         152             477            
2100909         2101077         2101555         168             478            
2200909         2201059         2201534         150             475            
2300909         2301060         2301536         151             476            
2400909         2401075         2401550         166             475            
2500909         2501057         2501533         148             476            
2600909         2601067         2601545         158             478            
2700909         2701064         2701541         155             477            
2800909         2801080         2801558         171             478            
2900909         2901077         2901554         168             477            
3000909         3001083         3001561         174             478            
3100909         3101085         3101562         176             477            
3200909         3201076         3201551         167             475            
3300909         3301090         3301564         181             474            
3400909         3401101         3401578         192             477            
3500909         3501090         3501567         181             477            
3600909         3601104         3601580         195             476            
3700909         3701107         3701584         198             477            
3800909         3801108         3801585         199             477            
3900909         3901114         3901593         205             479            
4000909         4001115         4001595         206             480            
4100909         4101169         4101648         260             479            
4200909         4201124         4201602         215             478            
4300909         4301235         4301713         326             478            
4400909         4401136         4401614         227             478            
4500909         4501136         4501613         227             477            
4600909         4601145         4601621         236             476            
4700909         4701139         4701615         230             476            
4800909         4801128         4801606         219             478            
4900909         4901137         4901614         228             477            
5000909         5001146         5001623         237             477            
5100909         5101147         5101626         238             479            
5200909         5201150         5201628         241             478            
5300909         5301160         5301636         251             476            
5400909         5401183         5401661         274             478            
5500909         5501169         5501647         260             478            
5600909         5601178         5601655         269             477            
5700909         5701172         5701648         263             476            
5800909         5801174         5801649         265             475            
5900909         5901181         5901659         272             478            
6000909         6001175         6001653         266             478            
6100909         6101172         6101650         263             478            
6200909         6201204         6201685         295             481            
6300909         6301210         6301690         301             480            
6400909         6401193         6401670         284             477            
6500909         6501222         6501700         313             478            
6600909         6601196         6601674         287             478            
6700909         6701234         6701711         325             477            
6800909         6801203         6801679         294             476            
6900909         6901234         6901711         325             477            
7000909         7001192         7001668         283             476            
7100909         7101201         7101711         292             510            
7200909         7201196         7201673         287             477            
7300909         7301231         7301768         322             537            
7400909         7401230         7401709         321             479            
7500909         7501234         7501743         325             509            
7600909         7601226         7601705         317             479            
7700909         7701245         7701754         336             509            
7800909         7801237         7801714         328             477            
7900909         7901260         7901768         351             508            
8000909         8001241         8001718         332             477            
8100909         8101270         8101773         361             503            
8200909         8201268         8201746         359             478            
8300909         8301292         8301796         383             504            
8400909         8401263         8401741         354             478            
8500909         8501242         8501786         333             544            
8600909         8601260         8601738         351             478            
8700909         8701254         8701785         345             531            
8800909         8801280         8801758         371             478            
8900909         8901263         8901799         354             536            
9000909         9001285         9001762         376             477            
9100909         9101277         9101819         368             542            
9200909         9201277         9201756         368             479            
9300909         9301285         9301826         376             541            
9400909         9401292         9401770         383             478            
9500909         9501279         9501811         370             532            
9600909         9601274         9601751         365             477            
9700909         9701282         9701816         373             534            
9800909         9801298         9801775         389             477            
9900909         9901303         9901838         394             535            
10000909        10001299        10001776        390             477            
10100909        10101298        10101829        389             531            
10200909        10201326        10201805        417             479            
10300909        10301319        10301851        410             532            
10400909        10401326        10401804        417             478            
10500909        10501326        10501878        417             552            
10600909        10601320        10601795        411             475            
10700909        10701318        10701850        409             532            
10800909        10801321        10801799        412             478            
10900909        10901341        10901883        432             542            

Total 100, priority 98, AVG 487, WCET 552
