task_count: 100, period: 100, priority: 98
Release         Start           Finish          Latency         ExTime
1001029         1001158         1001636         129             478            
1101029         1101158         1101636         129             478            
1201029         1201148         1201625         119             477            
1301029         1301146         1301624         117             478            
1401029         1401157         1401634         128             477            
1501029         1501158         1501635         129             477            
1601029         1601162         1601642         133             480            
1701029         1701169         1701646         140             477            
1801029         1801166         1801644         137             478            
1901029         1901167         1901645         138             478            
2001029         2001178         2001657         149             479            
2101029         2101192         2101672         163             480            
2201029         2201164         2201642         135             478            
2301029         2301190         2301665         161             475            
2401029         2401199         2401677         170             478            
2501029         2501177         2501654         148             477            
2601029         2601175         2601652         146             477            
2701029         2701195         2701674         166             479            
2801029         2801184         2801662         155             478            
2901029         2901201         2901680         172             479            
3001029         3001211         3001690         182             479            
3101029         3101216         3101693         187             477            
3201029         3201195         3201674         166             479            
3301029         3301212         3301689         183             477            
3401029         3401228         3401738         199             510            
3501029         3501221         3501697         192             476            
3601029         3601225         3601701         196             476            
3701029         3701234         3701710         205             476            
3801029         3801232         3801711         203             479            
3901029         3901228         3901709         199             481            
4001029         4001267         4001749         238             482            
4101029         4101261         4101740         232             479            
4201029         4201273         4201752         244             479            
4301029         4301244         4301723         215             479            
4401029         4401269         4401746         240             477            
4501029         4501242         4501719         213             477            
4601029         4601272         4601750         243             478            
4701029         4701263         4701739         234             476            
4801029         4801245         4801755         216             510            
4901029         4901263         4901742         234             479            
5001029         5001278         5001791         249             513            
5101029         5101267         5101745         238             478            
5201029         5201278         5201786         249             508            
5301029         5301281         5301759         252             478            
5401029         5401323         5401834         294             511            
5501029         5501288         5501768         259             480            
5601029         5601302         5601810         273             508            
5701029         5701299         5701777         270             478            
5801029         5801339         5801848         310             509            
5901029         5901293         5901771         264             478            
6001029         6001343         6001847         314             504            
6101029         6101429         6101907         400             478            
6201029         6201318         6201857         289             539            
6301029         6301313         6301791         284             478            
6401029         6401300         6401832         271             532            
6501029         6501323         6501802         294             479            
6601029         6601307         6601882         278             575            
6701029         6701331         6701809         302             478            
6801029         6801315         6801846         286             531            
6901029         6901325         6901804         296             479            
7001029         7001336         7001875         307             539            
7101029         7101329         7101805         300             476            
7201029         7201316         7201846         287             530            
7301029         7301343         7301821         314             478            
7401029         7401333         7401866         304             533            
7501029         7501351         7501829         322             478            
7601029         7601345         7601879         316             534            
7701029         7701356         7701834         327             478            
7801029         7801342         7801874         313             532            
7901029         7901365         7901844         336             479            
8001029         8001372         8001910         343             538            
8101029         8101358         8101836         329             478            
8201029         8201394         8201936         365             542            
8301029         8301380         8301856         351             476            
8401029         8401381         8401916         352             535            
8501029         8501367         8501844         338             477            
8601029         8601383         8601920         354             537            
8701029         8701386         8701864         357             478            
8801029         8801371         8801905         342             534            
8901029         8901384         8901861         355             477            
9001029         9001395         9001931         366             536            
9101029         9101400         9101878         371             478            
9201029         9201385         9201915         356             530            
9301029         9301399         9301875         370             476            
9401029         9401407         9401940         378             533            
9501029         9501399         9501875         370             476            
9601029         9601397         9601905         368             508            
9701029         9701418         9701897         389             479            
9801029         9801415         9801960         386             545            
9901029         9901417         9901894         388             477            
10001029        10001427        10001937        398             510            
10101029        10101432        10101910        403             478            
10201029        10201450        10201963        421             513            
10301029        10301432        10301909        403             477            
10401029        10401430        10401939        401             509            
10501029        10501450        10501929        421             479            
10601029        10601429        10601906        400             477            
10701029        10701443        10701919        414             476            
10801029        10801458        10801935        429             477            
10901029        10901454        10901933        425             479            

Total 100, priority 98, AVG 492, WCET 575
