task_count: 100, period: 100, priority: 98
Release         Start           Finish          Latency         ExTime
1000730         1000852         1001384         122             532            
1100730         1100831         1101310         101             479            
1200730         1200835         1201364         105             529            
1300730         1300843         1301320         113             477            
1400730         1400843         1401372         113             529            
1500730         1500845         1501324         115             479            
1600730         1600857         1601390         127             533            
1700730         1700863         1701341         133             478            
1800730         1800855         1801364         125             509            
1900730         1900856         1901334         126             478            
2000730         2000865         2001374         135             509            
2100730         2100864         2101342         134             478            
2200730         2200874         2201384         144             510            
2300730         2300880         2301358         150             478            
2400730         2400876         2401383         146             507            
2500730         2500882         2501360         152             478            
2600730         2600890         2601367         160             477            
2700730         2700896         2701373         166             477            
2800730         2800887         2801365         157             478            
2900730         2900887         2901364         157             477            
3000730         3000896         3001376         166             480            
3100730         3100903         3101380         173             477            
3200730         3200896         3201375         166             479            
3300730         3300928         3301407         198             479            
3400730         3400907         3401384         177             477            
3500730         3500942         3501421         212             479            
3600730         3600920         3601398         190             478            
3700730         3700956         3701435         226             479            
3800730         3800919         3801395         189             476            
3900730         3900919         3901427         189             508            
4000730         4000930         4001408         200             478            
4100730         4100926         4101435         196             509            
4200730         4200928         4201407         198             479            
4300730         4300941         4301451         211             510            
4400730         4400937         4401415         207             478            
4500730         4500944         4501454         214             510            
4600730         4600953         4601431         223             478            
4700730         4700960         4701471         230             511            
4800730         4800951         4801428         221             477            
4900730         4900954         4901460         224             506            
5000730         5000962         5001440         232             478            
5100730         5100958         5101470         228             512            
5200730         5200966         5201445         236             479            
5300730         5300971         5301481         241             510            
5400730         5400968         5401445         238             477            
5500730         5500974         5501484         244             510            
5600730         5600982         5601461         252             479            
5700730         5701012         5701526         282             514            
5800730         5800996         5801474         266             478            
5900730         5900988         5901500         258             512            
6000730         6000993         6001471         263             478            
6100730         6100996         6101515         266             519            
6200730         6200995         6201472         265             477            
6300730         6301009         6301519         279             510            
6400730         6401001         6401479         271             478            
6500730         6501008         6501523         278             515            
6600730         6601015         6601492         285             477            
6700730         6701029         6701543         299             514            
6800730         6801016         6801494         286             478            
6900730         6901039         6901551         309             512            
7000730         7001024         7001503         294             479            
7100730         7101053         7101565         323             512            
7200730         7201035         7201512         305             477            
7300730         7301078         7301589         348             511            
7400730         7401034         7401511         304             477            
7500730         7501071         7501580         341             509            
7600730         7601046         7601525         316             479            
7700730         7701053         7701595         323             542            
7800730         7801043         7801522         313             479            
7900730         7901043         7901584         313             541            
8000730         8001055         8001535         325             480            
8100730         8101052         8101590         322             538            
8200730         8201056         8201535         326             479            
8300730         8301066         8301608         336             542            
8400730         8401064         8401541         334             477            
8500730         8501069         8501611         339             542            
8600730         8601078         8601554         348             476            
8700730         8701084         8701624         354             540            
8800730         8801078         8801556         348             478            
8900730         8901075         8901591         345             516            
9000730         9001086         9001564         356             478            
9100730         9101084         9101600         354             516            
9200730         9201090         9201569         360             479            
9300730         9301098         9301613         368             515            
9400730         9401095         9401573         365             478            
9500730         9501100         9501616         370             516            
9600730         9601111         9601589         381             478            
9700730         9701117         9701634         387             517            
9800730         9801110         9801587         380             477            
9900730         9901107         9901625         377             518            
10000730        10001119        10001599        389             480            
10100730        10101115        10101631        385             516            
10200730        10201122        10201601        392             479            
10300730        10301127        10301640        397             513            
10400730        10401128        10401606        398             478            
10500730        10501132        10501645        402             513            
10600730        10601138        10601617        408             479            
10700730        10701144        10701660        414             516            
10800730        10801146        10801623        416             477            
10900730        10901139        10901651        409             512            

Total 100, priority 98, AVG 495, WCET 542
