task_count: 100, period: 100, priority: 98
Release         Start           Finish          Latency         ExTime
1000903         1001032         1001511         129             479            
1100903         1101008         1101522         105             514            
1200903         1201005         1201484         102             479            
1300903         1301016         1301528         113             512            
1400903         1401011         1401488         108             477            
1500903         1501024         1501535         121             511            
1600903         1601026         1601503         123             477            
1700903         1701027         1701537         124             510            
1800903         1801028         1801505         125             477            
1900903         1901031         1901542         128             511            
2000903         2001048         2001526         145             478            
2100903         2101041         2101550         138             509            
2200903         2201037         2201513         134             476            
2300903         2301049         2301526         146             477            
2400903         2401042         2401520         139             478            
2500903         2501048         2501526         145             478            
2600903         2601057         2601534         154             477            
2700903         2701057         2701534         154             477            
2800903         2801059         2801536         156             477            
2900903         2901065         2901544         162             479            
3000903         3001080         3001559         177             479            
3100903         3101072         3101549         169             477            
3200903         3201070         3201547         167             477            
3300903         3301081         3301559         178             478            
3400903         3401075         3401551         172             476            
3500903         3501087         3501563         184             476            
3600903         3601090         3601568         187             478            
3700903         3701088         3701565         185             477            
3800903         3801089         3801566         186             477            
3900903         3901093         3901571         190             478            
4000903         4001115         4001594         212             479            
4100903         4101104         4101582         201             478            
4200903         4201102         4201582         199             480            
4300903         4301111         4301589         208             478            
4400903         4401109         4401586         206             477            
4500903         4501114         4501593         211             479            
4600903         4601124         4601600         221             476            
4700903         4701123         4701598         220             475            
4800903         4801124         4801602         221             478            
4900903         4901127         4901605         224             478            
5000903         5001148         5001627         245             479            
5100903         5101141         5101619         238             478            
5200903         5201134         5201613         231             479            
5300903         5301142         5301620         239             478            
5400903         5401142         5401619         239             477            
5500903         5501147         5501626         244             479            
5600903         5601155         5601634         252             479            
5700903         5701180         5701659         277             479            
5800903         5801156         5801631         253             475            
5900903         5901160         5901636         257             476            
6000903         6001204         6001682         301             478            
6100903         6101193         6101671         290             478            
6200903         6201165         6201645         262             480            
6300903         6301177         6301655         274             478            
6400903         6401173         6401651         270             478            
6500903         6501185         6501663         282             478            
6600903         6601184         6601663         281             479            
6700903         6701185         6701663         282             478            
6800903         6801190         6801668         287             478            
6900903         6901189         6901665         286             476            
7000903         7001197         7001675         294             478            
7100903         7101204         7101681         301             477            
7200903         7201193         7201670         290             477            
7300903         7301205         7301682         302             477            
7400903         7401200         7401678         297             478            
7500903         7501209         7501686         306             477            
7600903         7601214         7601693         311             479            
7700903         7701214         7701693         311             479            
7800903         7801217         7801694         314             477            
7900903         7901221         7901698         318             477            
8000903         8001225         8001702         322             477            
8100903         8101237         8101715         334             478            
8200903         8201227         8201704         324             477            
8300903         8301237         8301713         334             476            
8400903         8401233         8401711         330             478            
8500903         8501237         8501714         334             477            
8600903         8601248         8601727         345             479            
8700903         8701247         8701726         344             479            
8800903         8801248         8801726         345             478            
8900903         8901253         8901730         350             477            
9000903         9001257         9001735         354             478            
9100903         9101269         9101748         366             479            
9200903         9201260         9201739         357             479            
9300903         9301270         9301749         367             479            
9400903         9401265         9401741         362             476            
9500903         9501273         9501749         370             476            
9600903         9601285         9601760         382             475            
9700903         9701275         9701754         372             479            
9800903         9801281         9801759         378             478            
9900903         9901282         9901760         379             478            
10000903        10001291        10001770        388             479            
10100903        10101301        10101780        398             479            
10200903        10201318        10201797        415             479            
10300903        10301302        10301778        399             476            
10400903        10401297        10401774        394             477            
10500903        10501302        10501778        399             476            
10600903        10601312        10601788        409             476            
10700903        10701310        10701787        407             477            
10800903        10801310        10801788        407             478            
10900903        10901316        10901794        413             478            

Total 100, priority 98, AVG 479, WCET 514
