task_count: 100, period: 100, priority: 98
Release         Start           Finish          Latency         ExTime
1000902         1001022         1001501         120             479            
1100902         1101011         1101554         109             543            
1200902         1201003         1201481         101             478            
1300902         1301015         1301566         113             551            
1400902         1401009         1401485         107             476            
1500902         1501016         1501557         114             541            
1600902         1601026         1601506         124             480            
1700902         1701023         1701537         121             514            
1800902         1801027         1801505         125             478            
1900902         1901025         1901542         123             517            
2000902         2001033         2001510         131             477            
2100902         2101045         2101564         143             519            
2200902         2201036         2201512         134             476            
2300902         2301049         2301566         147             517            
2400902         2401041         2401517         139             476            
2500902         2501044         2501522         142             478            
2600902         2601058         2601535         156             477            
2700902         2701055         2701531         153             476            
2800902         2801053         2801529         151             476            
2900902         2901057         2901535         155             478            
3000902         3001064         3001542         162             478            
3100902         3101074         3101554         172             480            
3200902         3201064         3201541         162             477            
3300902         3301079         3301557         177             478            
3400902         3401080         3401557         178             477            
3500902         3501081         3501559         179             478            
3600902         3601091         3601569         189             478            
3700902         3701086         3701561         184             475            
3800902         3801087         3801562         185             475            
3900902         3901089         3901566         187             477            
4000902         4001096         4001574         194             478            
4100902         4101109         4101587         207             478            
4200902         4201094         4201572         192             478            
4300902         4301110         4301589         208             479            
4400902         4401102         4401579         200             477            
4500902         4501108         4501586         206             478            
4600902         4601122         4601603         220             481            
4700902         4701117         4701594         215             477            
4800902         4801116         4801592         214             476            
4900902         4901127         4901636         225             509            
5000902         5001130         5001606         228             476            
5100902         5101140         5101618         238             478            
5200902         5201135         5201614         233             479            
5300902         5301142         5301621         240             479            
5400902         5401160         5401638         258             478            
5500902         5501143         5501621         241             478            
5600902         5601152         5601631         250             479            
5700902         5701149         5701625         247             476            
5800902         5801149         5801626         247             477            
5900902         5901155         5901631         253             476            
6000902         6001163         6001640         261             477            
6100902         6101172         6101651         270             479            
6200902         6201161         6201637         259             476            
6300902         6301175         6301651         273             476            
6400902         6401166         6401642         264             476            
6500902         6501171         6501648         269             477            
6600902         6601184         6601662         282             478            
6700902         6701200         6701678         298             478            
6800902         6801178         6801656         276             478            
6900902         6901186         6901663         284             477            
7000902         7001190         7001669         288             479            
7100902         7101202         7101682         300             480            
7200902         7201191         7201668         289             477            
7300902         7301203         7301680         301             477            
7400902         7401198         7401673         296             475            
7500902         7501201         7501678         299             477            
7600902         7601215         7601694         313             479            
7700902         7701211         7701688         309             477            
7800902         7801208         7801686         306             478            
7900902         7901217         7901694         315             477            
8000902         8001230         8001707         328             477            
8100902         8101233         8101775         331             542            
8200902         8201221         8201699         319             478            
8300902         8301238         8301716         336             478            
8400902         8401235         8401712         333             477            
8500902         8501236         8501715         334             479            
8600902         8601248         8601724         346             476            
8700902         8701244         8701721         342             477            
8800902         8801243         8801721         341             478            
8900902         8901248         8901726         346             478            
9000902         9001254         9001733         352             479            
9100902         9101263         9101741         361             478            
9200902         9201256         9201735         354             479            
9300902         9301266         9301744         364             478            
9400902         9401262         9401739         360             477            
9500902         9501269         9501748         367             479            
9600902         9601280         9601757         378             477            
9700902         9701277         9701754         375             477            
9800902         9801276         9801752         374             476            
9900902         9901282         9901757         380             475            
10000902        10001286        10001764        384             478            
10100902        10101297        10101775        395             478            
10200902        10201294        10201772        392             478            
10300902        10301302        10301781        400             479            
10400902        10401299        10401777        397             478            
10500902        10501300        10501777        398             477            
10600902        10601312        10601790        410             478            
10700902        10701309        10701786        407             477            
10800902        10801309        10801785        407             476            
10900902        10901314        10901789        412             475            

Total 100, priority 98, AVG 482, WCET 551
