task_count: 100, period: 100, priority: 98
Release         Start           Finish          Latency         ExTime
1001055         1001204         1001686         149             482            
1101055         1101208         1101688         153             480            
1201055         1201198         1201675         143             477            
1301055         1301198         1301675         143             477            
1401055         1401190         1401671         135             481            
1501055         1501197         1501675         142             478            
1601055         1601204         1601684         149             480            
1701055         1701232         1701714         177             482            
1801055         1801228         1801708         173             480            
1901055         1901231         1901709         176             478            
2001055         2001235         2001716         180             481            
2101055         2101224         2101704         169             480            
2201055         2201228         2201706         173             478            
2301055         2301238         2301719         183             481            
2401055         2401230         2401708         175             478            
2501055         2501222         2501703         167             481            
2601055         2601235         2601714         180             479            
2701055         2701246         2701725         191             479            
2801055         2801249         2801729         194             480            
2901055         2901238         2901719         183             481            
3001055         3001261         3001739         206             478            
3101055         3101251         3101730         196             479            
3201055         3201261         3201739         206             478            
3301055         3301254         3301734         199             480            
3401055         3401263         3401741         208             478            
3501055         3501250         3501727         195             477            
3601055         3601266         3601743         211             477            
3701055         3701281         3701759         226             478            
3801055         3801267         3801745         212             478            
3901055         3901259         3901738         204             479            
4001055         4001278         4001756         223             478            
4101055         4101273         4101752         218             479            
4201055         4201287         4201767         232             480            
4301055         4301287         4301767         232             480            
4401055         4401282         4401760         227             478            
4501055         4501291         4501770         236             479            
4601055         4601319         4601799         264             480            
4701055         4701304         4701784         249             480            
4801055         4801303         4801781         248             478            
4901055         4901300         4901780         245             480            
5001055         5001339         5001817         284             478            
5101055         5101347         5101825         292             478            
5201055         5201333         5201811         278             478            
5301055         5301347         5301828         292             481            
5401055         5401340         5401818         285             478            
5501055         5501371         5501850         316             479            
5601055         5601367         5601847         312             480            
5701055         5701376         5701855         321             479            
5801055         5801375         5801853         320             478            
5901055         5901363         5901841         308             478            
6001055         6001332         6001847         277             515            
6101055         6101346         6101861         291             515            
6201055         6201340         6201853         285             513            
6301055         6301342         6301855         287             513            
6401055         6401368         6401883         313             515            
6501055         6501357         6501871         302             514            
6601055         6601351         6601864         296             513            
6701055         6701377         6701892         322             515            
6801055         6801361         6801875         306             514            
6901055         6901378         6901893         323             515            
7001055         7001368         7001884         313             516            
7101055         7101385         7101900         330             515            
7201055         7201378         7201890         323             512            
7301055         7301381         7301903         326             522            
7401055         7401391         7401910         336             519            
7501055         7501397         7501920         342             523            
7601055         7601411         7601927         356             516            
7701055         7701393         7701911         338             518            
7801055         7801418         7801932         363             514            
7901055         7901408         7901928         353             520            
8001055         8001432         8001949         377             517            
8101055         8101410         8101928         355             518            
8201055         8201444         8201954         389             510            
8301055         8301416         8301936         361             520            
8401055         8401460         8401971         405             511            
8501055         8501440         8501958         385             518            
8601055         8601479         8601988         424             509            
8701055         8701471         8701988         416             517            
8801055         8801462         8802003         407             541            
8901055         8901447         8901964         392             517            
9001055         9001464         9002002         409             538            
9101055         9101456         9101969         401             513            
9201055         9201482         9202020         427             538            
9301055         9301484         9302002         429             518            
9401055         9401477         9402009         422             532            
9501055         9501483         9501996         428             513            
9601055         9601493         9602023         438             530            
9701055         9701503         9702014         448             511            
9801055         9801457         9802027         402             570            
9901055         9901465         9902011         410             546            
10001055        10001464        10002035        409             571            
10101055        10101465        10102011        410             546            
10201055        10201475        10202046        420             571            
10301055        10301482        10302031        427             549            
10401055        10401474        10402042        419             568            
10501055        10501481        10502026        426             545            
10601055        10601495        10602066        440             571            
10701055        10701497        10702042        442             545            
10801055        10801504        10802074        449             570            
10901055        10901497        10902043        442             546            

Total 100, priority 98, AVG 503, WCET 571
