task_count: 100, period: 100, priority: 98
Release         Start           Finish          Latency         ExTime
1001023         1001155         1001635         132             480            
1101023         1101133         1101610         110             477            
1201023         1201145         1201624         122             479            
1301023         1301147         1301625         124             478            
1401023         1401143         1401621         120             478            
1501023         1501166         1501644         143             478            
1601023         1601153         1601630         130             477            
1701023         1701148         1701626         125             478            
1801023         1801159         1801638         136             479            
1901023         1901157         1901634         134             477            
2001023         2001163         2001641         140             478            
2101023         2101162         2101639         139             477            
2201023         2201177         2201656         154             479            
2301023         2301178         2301655         155             477            
2401023         2401184         2401662         161             478            
2501023         2501195         2501673         172             478            
2601023         2601183         2601661         160             478            
2701023         2701182         2701658         159             476            
2801023         2801192         2801669         169             477            
2901023         2901189         2901664         166             475            
3001023         3001195         3001673         172             478            
3101023         3101193         3101670         170             477            
3201023         3201210         3201689         187             479            
3301023         3301208         3301685         185             477            
3401023         3401203         3401682         180             479            
3501023         3501226         3501705         203             479            
3601023         3601216         3601694         193             478            
3701023         3701213         3701691         190             478            
3801023         3801224         3801702         201             478            
3901023         3901219         3901696         196             477            
4001023         4001227         4001703         204             476            
4101023         4101224         4101702         201             478            
4201023         4201246         4201723         223             477            
4301023         4301239         4301717         216             478            
4401023         4401237         4401716         214             479            
4501023         4501274         4501752         251             478            
4601023         4601245         4601723         222             478            
4701023         4701269         4701748         246             479            
4801023         4801255         4801733         232             478            
4901023         4901277         4901755         254             478            
5001023         5001263         5001741         240             478            
5101023         5101291         5101769         268             478            
5201023         5201276         5201754         253             478            
5301023         5301328         5301807         305             479            
5401023         5401283         5401761         260             478            
5501023         5501331         5501809         308             478            
5601023         5601275         5601754         252             479            
5701023         5701309         5701815         286             506            
5801023         5801288         5801767         265             479            
5901023         5901317         5901822         294             505            
6001023         6001289         6001767         266             478            
6101023         6101324         6101828         301             504            
6201023         6201304         6201783         281             479            
6301023         6301338         6301842         315             504            
6401023         6401300         6401777         277             477            
6501023         6501356         6501858         333             502            
6601023         6601307         6601786         284             479            
6701023         6701316         6701843         293             527            
6801023         6801315         6801794         292             479            
6901023         6901321         6901847         298             526            
7001023         7001322         7001800         299             478            
7101023         7101330         7101856         307             526            
7201023         7201336         7201815         313             479            
7301023         7301345         7301871         322             526            
7401023         7401349         7401828         326             479            
7501023         7501363         7501893         340             530            
7601023         7601340         7601817         317             477            
7701023         7701345         7701871         322             526            
7801023         7801345         7801824         322             479            
7901023         7901354         7901883         331             529            
8001023         8001350         8001828         327             478            
8101023         8101359         8101885         336             526            
8201023         8201366         8201846         343             480            
8301023         8301372         8301899         349             527            
8401023         8401364         8401842         341             478            
8501023         8501383         8501916         360             533            
8601023         8601372         8601849         349             477            
8701023         8701382         8701909         359             527            
8801023         8801379         8801855         356             476            
8901023         8901385         8901914         362             529            
9001023         9001383         9001861         360             478            
9101023         9101388         9101919         365             531            
9201023         9201400         9201879         377             479            
9301023         9301404         9301934         381             530            
9401023         9401392         9401870         369             478            
9501023         9501414         9501948         391             534            
9601023         9601404         9601882         381             478            
9701023         9701411         9701942         388             531            
9801023         9801411         9801888         388             477            
9901023         9901415         9901943         392             528            
10001023        10001415        10001891        392             476            
10101023        10101432        10101963        409             531            
10201023        10201431        10201908        408             477            
10301023        10301437        10301967        414             530            
10401023        10401426        10401904        403             478            
10501023        10501443        10501951        420             508            
10601023        10601444        10601924        421             480            
10701023        10701442        10701950        419             508            
10801023        10801444        10801922        421             478            
10901023        10901455        10901964        432             509            

Total 100, priority 98, AVG 489, WCET 534
