task_count: 100, period: 100, priority: 98
Release         Start           Finish          Latency         ExTime
1001111         1001252         1001732         141             480            
1101111         1101232         1101712         121             480            
1201111         1201248         1201727         137             479            
1301111         1301239         1301715         128             476            
1401111         1401232         1401711         121             479            
1501111         1501254         1501730         143             476            
1601111         1601242         1601720         131             478            
1701111         1701241         1701719         130             478            
1801111         1801255         1801733         144             478            
1901111         1901260         1901739         149             479            
2001111         2001254         2001732         143             478            
2101111         2101264         2101743         153             479            
2201111         2201280         2201760         169             480            
2301111         2301267         2301746         156             479            
2401111         2401269         2401746         158             477            
2501111         2501286         2501763         175             477            
2601111         2601274         2601749         163             475            
2701111         2701270         2701748         159             478            
2801111         2801291         2801770         180             479            
2901111         2901282         2901763         171             481            
3001111         3001308         3001786         197             478            
3101111         3101293         3101771         182             478            
3201111         3201336         3201816         225             480            
3301111         3301295         3301774         184             479            
3401111         3401322         3401799         211             477            
3501111         3501320         3501799         209             479            
3601111         3601335         3601812         224             477            
3701111         3701304         3701780         193             476            
3801111         3801348         3801827         237             479            
3901111         3901313         3901792         202             479            
4001111         4001323         4001832         212             509            
4101111         4101325         4101803         214             478            
4201111         4201403         4201883         292             480            
4301111         4301328         4301808         217             480            
4401111         4401355         4401862         244             507            
4501111         4501350         4501828         239             478            
4601111         4601366         4601871         255             505            
4701111         4701335         4701812         224             477            
4801111         4801379         4801884         268             505            
4901111         4901346         4901823         235             477            
5001111         5001381         5001882         270             501            
5101111         5101360         5101840         249             480            
5201111         5201410         5201909         299             499            
5301111         5301374         5301854         263             480            
5401111         5401384         5401915         273             531            
5501111         5501383         5501862         272             479            
5601111         5601374         5601904         263             530            
5701111         5701367         5701847         256             480            
5801111         5801385         5801914         274             529            
5901111         5901380         5901860         269             480            
6001111         6001383         6001909         272             526            
6101111         6101390         6101867         279             477            
6201111         6201406         6201934         295             528            
6301111         6301393         6301873         282             480            
6401111         6401393         6401922         282             529            
6501111         6501410         6501891         299             481            
6601111         6601400         6601925         289             525            
6701111         6701397         6701876         286             479            
6801111         6801414         6801940         303             526            
6901111         6901410         6901889         299             479            
7001111         7001414         7001940         303             526            
7101111         7101423         7101901         312             478            
7201111         7201438         7201966         327             528            
7301111         7301425         7301902         314             477            
7401111         7401427         7401951         316             524            
7501111         7501445         7501922         334             477            
7601111         7601461         7601988         350             527            
7701111         7701427         7701906         316             479            
7801111         7801447         7801973         336             526            
7901111         7901441         7901920         330             479            
8001111         8001444         8001972         333             528            
8101111         8101451         8101930         340             479            
8201111         8201471         8201998         360             527            
8301111         8301454         8301932         343             478            
8401111         8401458         8401983         347             525            
8501111         8501478         8501956         367             478            
8601111         8601466         8601992         355             526            
8701111         8701458         8701937         347             479            
8801111         8801476         8801982         365             506            
8901111         8901472         8901951         361             479            
9001111         9001476         9001983         365             507            
9101111         9101485         9101963         374             478            
9201111         9201502         9202011         391             509            
9301111         9301485         9301963         374             478            
9401111         9401488         9401993         377             505            
9501111         9501510         9501988         399             478            
9601111         9601497         9602002         386             505            
9701111         9701492         9701969         381             477            
9801111         9801508         9801985         397             477            
9901111         9901504         9901983         393             479            
10001111        10001507        10001986        396             479            
10101111        10101539        10102018        428             479            
10201111        10201530        10202009        419             479            
10301111        10301542        10302020        431             478            
10401111        10401531        10402009        420             478            
10501111        10501565        10502044        454             479            
10601111        10601527        10602004        416             477            
10701111        10701552        10702030        441             478            
10801111        10801536        10802013        425             477            
10901111        10901564        10902042        453             478            

Total 100, priority 98, AVG 489, WCET 531
