task_count: 100, period: 100, priority: 98
Release         Start           Finish          Latency         ExTime
1000787         1000916         1001449         129             533            
1100787         1100924         1101402         137             478            
1200787         1200931         1201464         144             533            
1300787         1300916         1301395         129             479            
1400787         1400923         1401457         136             534            
1500787         1500923         1501403         136             480            
1600787         1600938         1601473         151             535            
1700787         1700932         1701412         145             480            
1800787         1800923         1801455         136             532            
1900787         1900936         1901417         149             481            
2000787         2000934         2001466         147             532            
2100787         2100940         2101419         153             479            
2200787         2200957         2201491         170             534            
2300787         2300950         2301427         163             477            
2400787         2400940         2401471         153             531            
2500787         2500952         2501433         165             481            
2600787         2600969         2601504         182             535            
2700787         2700963         2701441         176             478            
2800787         2800954         2801482         167             528            
2900787         2900965         2901444         178             479            
3000787         3000964         3001496         177             532            
3100787         3100971         3101451         184             480            
3200787         3200988         3201521         201             533            
3300787         3300979         3301457         192             478            
3400787         3400973         3401501         186             528            
3500787         3500983         3501460         196             477            
3600787         3601000         3601533         213             533            
3700787         3700996         3701475         209             479            
3800787         3800985         3801494         198             509            
3900787         3900994         3901472         207             478            
4000787         4000995         4001503         208             508            
4100787         4101008         4101486         221             478            
4200787         4201020         4201530         233             510            
4300787         4301012         4301490         225             478            
4400787         4401008         4401515         221             507            
4500787         4501016         4501493         229             477            
4600787         4601036         4601546         249             510            
4700787         4701026         4701504         239             478            
4800787         4801018         4801497         231             479            
4900787         4901042         4901521         255             479            
5000787         5001026         5001504         239             478            
5100787         5101069         5101548         282             479            
5200787         5201070         5201550         283             480            
5300787         5301095         5301575         308             480            
5400787         5401038         5401518         251             480            
5500787         5501076         5501555         289             479            
5600787         5601067         5601547         280             480            
5700787         5701092         5701570         305             478            
5800787         5801052         5801530         265             478            
5900787         5901093         5901570         306             477            
6000787         6001058         6001536         271             478            
6100787         6101073         6101586         286             513            
6200787         6201081         6201561         294             480            
6300787         6301075         6301586         288             511            
6400787         6401084         6401563         297             479            
6500787         6501082         6501594         295             512            
6600787         6601098         6601578         311             480            
6700787         6701094         6701606         307             512            
6800787         6801082         6801559         295             477            
6900787         6901097         6901607         310             510            
7000787         7001090         7001565         303             475            
7100787         7101101         7101613         314             512            
7200787         7201118         7201595         331             477            
7300787         7301106         7301618         319             512            
7400787         7401100         7401580         313             480            
7500787         7501113         7501625         326             512            
7600787         7601128         7601609         341             481            
7700787         7701126         7701639         339             513            
7800787         7801114         7801593         327             479            
7900787         7901128         7901640         341             512            
8000787         8001123         8001600         336             477            
8100787         8101137         8101648         350             511            
8200787         8201146         8201625         359             479            
8300787         8301143         8301655         356             512            
8400787         8401132         8401612         345             480            
8500787         8501153         8501671         366             518            
8600787         8601160         8601638         373             478            
8700787         8701178         8701694         391             516            
8800787         8801145         8801623         358             478            
8900787         8901183         8901698         396             515            
9000787         9001155         9001633         368             478            
9100787         9101188         9101702         401             514            
9200787         9201174         9201653         387             479            
9300787         9301202         9301713         415             511            
9400787         9401163         9401641         376             478            
9500787         9501206         9501715         419             509            
9600787         9601193         9601671         406             478            
9700787         9701185         9701728         398             543            
9800787         9801176         9801654         389             478            
9900787         9901187         9901730         400             543            
10000787        10001186        10001664        399             478            
10100787        10101194        10101738        407             544            
10200787        10201207        10201686        420             479            
10300787        10301197        10301741        410             544            
10400787        10401193        10401671        406             478            
10500787        10501204        10501746        417             542            
10600787        10601222        10601701        435             479            
10700787        10701216        10701759        429             543            
10800787        10801206        10801684        419             478            
10900787        10901213        10901731        426             518            

Total 100, priority 98, AVG 498, WCET 544
