task_count: 100, period: 100, priority: 98
Release         Start           Finish          Latency         ExTime
1048828         1049001         1049524         173             523            
1148828         1148991         1149536         163             545            
1248828         1248988         1249508         160             520            
1348828         1349021         1349535         193             514            
1448828         1449115         1449643         287             528            
1548828         1549035         1549570         207             535            
1648828         1649063         1649583         235             520            
1748828         1749028         1749548         200             520            
1848828         1848999         1849527         171             528            
1948828         1949044         1949595         216             551            
2048828         2049013         2049541         185             528            
2148828         2149069         2149585         241             516            
2248828         2249037         2249564         209             527            
2348828         2349087         2349629         259             542            
2448828         2449067         2449593         239             526            
2548828         2549114         2549631         286             517            
2648828         2649085         2649612         257             527            
2748828         2749210         2749747         382             537            
2848828         2849124         2849651         296             527            
2948828         2949141         2949655         313             514            
3048828         3049109         3049836         281             727            
3148828         3149100         3149671         272             571            
3248828         3249097         3249624         269             527            
3348828         3349124         3349669         296             545            
3448828         3449104         3449629         276             525            
3548828         3549128         3549693         300             565            
3648828         3649198         3649726         370             528            
3748828         3749169         3749715         341             546            
3848828         3849068         3849629         240             561            
3948828         3949073         3949674         245             601            
4048828         4049077         4049654         249             577            
4148828         4149088         4149694         260             606            
4248828         4249058         4249637         230             579            
4348828         4349090         4349707         262             617            
4448828         4449089         4449669         261             580            
4548828         4549075         4549681         247             606            
4648828         4649084         4649665         256             581            
4748828         4749152         4749758         324             606            
4848828         4849122         4849698         294             576            
4948828         4949190         4949794         362             604            
5048828         5049179         5049756         351             577            
5148828         5149107         5149721         279             614            
5248828         5249130         5249707         302             577            
5348828         5349129         5349733         301             604            
5448828         5449125         5449704         297             579            
5548828         5549117         5549725         289             608            
5648828         5649129         5649674         301             545            
5748828         5749134         5749740         306             606            
5848828         5849134         5849680         306             546            
5948828         5949125         5949710         297             585            
6048828         6049143         6049688         315             545            
6148828         6149141         6149721         313             580            
6248828         6249143         6249688         315             545            
6348828         6349146         6349737         318             591            
6448828         6449155         6449697         327             542            
6548828         6549156         6549734         328             578            
6648828         6649161         6649697         333             536            
6748828         6749177         6749770         349             593            
6848828         6849153         6849686         325             533            
6948828         6949260         6949839         432             579            
7048828         7049185         7049720         357             535            
7148828         7149175         7149755         347             580            
7248828         7249176         7249709         348             533            
7348828         7349179         7349751         351             572            
7448828         7449171         7449708         343             537            
7548828         7549217         7549801         389             584            
7648828         7649191         7649726         363             535            
7748828         7749190         7749719         362             529            
7848828         7849195         7849717         367             522            
7948828         7949195         7949730         367             535            
8048828         8049198         8049721         370             523            
8148828         8149208         8149753         380             545            
8248828         8249195         8249727         367             532            
8348828         8349209         8349743         381             534            
8448828         8449219         8449755         391             536            
8548828         8549236         8549777         408             541            
8648828         8649227         8649705         399             478            
8748828         8749232         8749712         404             480            
8848828         8849222         8849701         394             479            
8948828         8949229         8949707         401             478            
9048828         9049232         9049710         404             478            
9148828         9149374         9149968         546             594            
9248828         9249242         9249721         414             479            
9348828         9349236         9349713         408             477            
9448828         9449240         9449718         412             478            
9548828         9549247         9549725         419             478            
9648828         9649250         9649727         422             477            
9748828         9749273         9749751         445             478            
9848828         9849266         9849743         438             477            
9948828         9949257         9949737         429             480            
10048828        10049263        10049742        435             479            
10148828        10149267        10149746        439             479            
10248828        10249272        10249752        444             480            
10348828        10349274        10349752        446             478            
10448828        10449274        10449753        446             479            
10548828        10549284        10549763        456             479            
10648828        10649268        10649746        440             478            
10748828        10749291        10749769        463             478            
10848828        10849289        10849766        461             477            
10948828        10949293        10949770        465             477            

Total 100, priority 98, AVG 539, WCET 727
