task_count: 100, period: 100, priority: 98
Release         Start           Finish          Latency         ExTime
1001309         1001474         1001953         165             479            
1101309         1101471         1101950         162             479            
1201309         1201473         1201952         164             479            
1301309         1301475         1301953         166             478            
1401309         1401475         1401953         166             478            
1501309         1501479         1501958         170             479            
1601309         1601494         1601974         185             480            
1701309         1701490         1701971         181             481            
1801309         1801505         1801985         196             480            
1901309         1901492         1901970         183             478            
2001309         2001498         2001978         189             480            
2101309         2101498         2101978         189             480            
2201309         2201511         2201992         202             481            
2301309         2301534         2302045         225             511            
2401309         2401526         2402003         217             477            
2501309         2501549         2502027         240             478            
2601309         2601567         2602046         258             479            
2701309         2701571         2702050         262             479            
2801309         2801566         2802046         257             480            
2901309         2901576         2902056         267             480            
3001309         3001571         3002048         262             477            
3101309         3101585         3102063         276             478            
3201309         3201577         3202057         268             480            
3301309         3301595         3302077         286             482            
3401309         3401585         3402065         276             480            
3501309         3501594         3502075         285             481            
3601309         3601597         3602077         288             480            
3701309         3701606         3702086         297             480            
3801309         3801604         3802083         295             479            
3901309         3901564         3902096         255             532            
4001309         4001564         4002087         255             523            
4101309         4101564         4102100         255             536            
4201309         4201579         4202105         270             526            
4301309         4301575         4302102         266             527            
4401309         4401593         4402123         284             530            
4501309         4501586         4502109         277             523            
4601309         4601604         4602124         295             520            
4701309         4701591         4702124         282             533            
4801309         4801600         4802125         291             525            
4901309         4901601         4902129         292             528            
5001309         5001601         5002125         292             524            
5101309         5101593         5102132         284             539            
5201309         5201606         5202145         297             539            
5301309         5301601         5302135         292             534            
5401309         5401602         5402129         293             527            
5501309         5501612         5502171         303             559            
5601309         5601621         5602153         312             532            
5701309         5701617         5702153         308             536            
5801309         5801616         5802147         307             531            
5901309         5901643         5902173         334             530            
6001309         6001637         6002166         328             529            
6101309         6101676         6102216         367             540            
6201309         6201672         6202197         363             525            
6301309         6301705         6302242         396             537            
6401309         6401684         6402211         375             527            
6501309         6501698         6502228         389             530            
6601309         6601697         6602218         388             521            
6701309         6701706         6702237         397             531            
6801309         6801711         6802231         402             520            
6901309         6901709         6902237         400             528            
7001309         7001704         7002227         395             523            
7101309         7101731         7102260         422             529            
7201309         7201748         7202280         439             532            
7301309         7301724         7302251         415             527            
7401309         7401737         7402260         428             523            
7501309         7501773         7502306         464             533            
7601309         7601667         7602246         358             579            
7701309         7701680         7702267         371             587            
7801309         7801681         7802251         372             570            
7901309         7901696         7902280         387             584            
8001309         8001698         8002276         389             578            
8101309         8101691         8102275         382             584            
8201309         8201694         8202265         385             571            
8301309         8301713         8302303         404             590            
8401309         8401709         8402283         400             574            
8501309         8501703         8502282         394             579            
8601309         8601711         8602293         402             582            
8701309         8701704         8702299         395             595            
8801309         8801717         8802302         408             585            
8901309         8901718         8902302         409             584            
9001309         9001720         9002258         411             538            
9101309         9101732         9102321         423             589            
9201309         9201735         9202281         426             546            
9301309         9301726         9302274         417             548            
9401309         9401730         9402265         421             535            
9501309         9501746         9502297         437             551            
9601309         9601742         9602281         433             539            
9701309         9701755         9702309         446             554            
9801309         9801755         9802298         446             543            
9901309         9901753         9902303         444             550            
10001309        10001757        10002300        448             543            
10101309        10101762        10102312        453             550            
10201309        10201765        10202305        456             540            
10301309        10301767        10302305        458             538            
10401309        10401752        10402291        443             539            
10501309        10501778        10502319        469             541            
10601309        10601782        10602312        473             530            
10701309        10701809        10702346        500             537            
10801309        10801790        10802329        481             539            
10901309        10901780        10902315        471             535            

Total 100, priority 98, AVG 525, WCET 595
