task_count: 100, period: 100, priority: 98
Release         Start           Finish          Latency         ExTime
1019112         1019294         1019775         182             481            
1119112         1119264         1119742         152             478            
1219112         1219286         1219762         174             476            
1319112         1319274         1319756         162             482            
1419112         1419280         1419759         168             479            
1519112         1519286         1519765         174             479            
1619112         1619289         1619769         177             480            
1719112         1719289         1719768         177             479            
1819112         1819301         1819780         189             479            
1919112         1919292         1919772         180             480            
2019112         2019292         2019773         180             481            
2119112         2119300         2119779         188             479            
2219112         2219308         2219788         196             480            
2319112         2319308         2319787         196             479            
2419112         2419302         2419782         190             480            
2519112         2519316         2519797         204             481            
2619112         2619317         2619797         205             480            
2719112         2719315         2719793         203             478            
2819112         2819318         2819799         206             481            
2919112         2919321         2919800         209             479            
3019112         3019324         3019803         212             479            
3119112         3119334         3119813         222             479            
3219112         3219338         3219817         226             479            
3319112         3319362         3319841         250             479            
3419112         3419339         3419816         227             477            
3519112         3519342         3519822         230             480            
3619112         3619341         3619822         229             481            
3719112         3719353         3719833         241             480            
3819112         3819349         3819828         237             479            
3919112         3919354         3919834         242             480            
4019112         4019355         4019835         243             480            
4119112         4119364         4119845         252             481            
4219112         4219376         4219856         264             480            
4319112         4319375         4319855         263             480            
4419112         4419352         4419831         240             479            
4519112         4519404         4519884         292             480            
4619112         4619381         4619860         269             479            
4719112         4719381         4719861         269             480            
4819112         4819371         4819879         259             508            
4919112         4919387         4919869         275             482            
5019112         5019387         5019866         275             479            
5119112         5119397         5119877         285             480            
5219112         5219400         5219881         288             481            
5319112         5319398         5319878         286             480            
5419112         5419407         5419888         295             481            
5519112         5519404         5519885         292             481            
5619112         5619411         5619891         299             480            
5719112         5719417         5719895         305             478            
5819112         5819416         5819893         304             477            
5919112         5919451         5919931         339             480            
6019112         6019417         6019897         305             480            
6119112         6119424         6119905         312             481            
6219112         6219440         6219920         328             480            
6319112         6319435         6319914         323             479            
6419112         6419433         6419912         321             479            
6519112         6519434         6519912         322             478            
6619112         6619427         6619907         315             480            
6719112         6719446         6719925         334             479            
6819112         6819441         6819921         329             480            
6919112         6919449         6919928         337             479            
7019112         7019466         7019944         354             478            
7119112         7119461         7119938         349             477            
7219112         7219470         7219949         358             479            
7319112         7319462         7319941         350             479            
7419112         7419462         7419942         350             480            
7519112         7519469         7519946         357             477            
7619112         7619470         7619949         358             479            
7719112         7719473         7719951         361             478            
7819112         7819478         7819956         366             478            
7919112         7919478         7919956         366             478            
8019112         8019481         8019960         369             479            
8119112         8119492         8119970         380             478            
8219112         8219520         8220000         408             480            
8319112         8319527         8320006         415             479            
8419112         8419539         8420018         427             479            
8519112         8519542         8520021         430             479            
8619112         8619541         8620019         429             478            
8719112         8719545         8720024         433             479            
8819112         8819546         8820027         434             481            
8919112         8919557         8920038         445             481            
9019112         9019566         9020047         454             481            
9119112         9119562         9120078         450             516            
9219112         9219569         9220048         457             479            
9319112         9319593         9320075         481             482            
9419112         9419569         9420048         457             479            
9519112         9519586         9520064         474             478            
9619112         9619589         9620067         477             478            
9719112         9719545         9720079         433             534            
9819112         9819543         9820067         431             524            
9919112         9919549         9920080         437             531            
10019112        10019557        10020083        445             526            
10119112        10119558        10120082        446             524            
10219112        10219563        10220088        451             525            
10319112        10319568        10320096        456             528            
10419112        10419567        10420091        455             524            
10519112        10519566        10520099        454             533            
10619112        10619571        10620097        459             526            
10719112        10719573        10720103        461             530            
10819112        10819570        10820104        458             534            
10919112        10919571        10920114        459             543            

Total 100, priority 98, AVG 486, WCET 543
