task_count: 100, period: 100, priority: 98
Release         Start           Finish          Latency         ExTime
1000900         1001070         1001550         170             480            
1100900         1101061         1101541         161             480            
1200900         1201066         1201545         166             479            
1300900         1301129         1301610         229             481            
1400900         1401138         1401618         238             480            
1500900         1501103         1501584         203             481            
1600900         1601109         1601587         209             478            
1700900         1701119         1701600         219             481            
1800900         1801124         1801603         224             479            
1900900         1901127         1901606         227             479            
2000900         2001142         2001620         242             478            
2100900         2101146         2101627         246             481            
2200900         2201224         2201705         324             481            
2300900         2301143         2301621         243             478            
2400900         2401155         2401634         255             479            
2500900         2501166         2501646         266             480            
2600900         2601165         2601645         265             480            
2700900         2701161         2701641         261             480            
2800900         2801164         2801645         264             481            
2900900         2901156         2901633         256             477            
3000900         3001174         3001652         274             478            
3100900         3101181         3101661         281             480            
3200900         3201128         3201656         228             528            
3300900         3301143         3301672         243             529            
3400900         3401144         3401663         244             519            
3500900         3501238         3501718         338             480            
3600900         3601155         3601680         255             525            
3700900         3701134         3701659         234             525            
3800900         3801150         3801668         250             518            
3900900         3901162         3901687         262             525            
4000900         4001164         4001679         264             515            
4100900         4101164         4101692         264             528            
4200900         4201167         4201684         267             517            
4300900         4301164         4301698         264             534            
4400900         4401252         4401779         352             527            
4500900         4501380         4501860         480             480            
4600900         4601183         4601716         283             533            
4700900         4701162         4701693         262             531            
4800900         4801163         4801713         263             550            
4900900         4901199         4901764         299             565            
5000900         5001195         5001724         295             529            
5100900         5101216         5101747         316             531            
5200900         5201228         5201757         328             529            
5300900         5301243         5301776         343             533            
5400900         5401248         5401778         348             530            
5500900         5501308         5501846         408             538            
5600900         5601314         5601847         414             533            
5700900         5701274         5701806         374             532            
5800900         5801270         5801796         370             526            
5900900         5901293         5901824         393             531            
6000900         6001276         6001800         376             524            
6100900         6101300         6101828         400             528            
6200900         6201290         6201816         390             526            
6300900         6301298         6301827         398             529            
6400900         6401296         6401819         396             523            
6500900         6501369         6501897         469             528            
6600900         6601321         6601844         421             523            
6700900         6701352         6701880         452             528            
6800900         6801335         6801850         435             515            
6900900         6901242         6901825         342             583            
7000900         7001270         7001841         370             571            
7100900         7101261         7102274         361             1013           
7200900         7201392         7201914         492             522            
7300900         7301289         7301878         389             589            
7400900         7401263         7401824         363             561            
7500900         7501267         7501849         367             582            
7600900         7601289         7601852         389             563            
7700900         7701372         7701961         472             589            
7800900         7801277         7801846         377             569            
7900900         7901372         7901963         472             591            
8000900         8001279         8001850         379             571            
8100900         8101302         8101889         402             587            
8200900         8201278         8201814         378             536            
8300900         8301349         8301936         449             587            
8400900         8401293         8401830         393             537            
8500900         8501308         8501859         408             551            
8600900         8601305         8601846         405             541            
8700900         8701302         8701859         402             557            
8800900         8801306         8801838         406             532            
8900900         8901393         8901976         493             583            
9000900         9001331         9001876         431             545            
9100900         9101327         9101878         427             551            
9200900         9201322         9201863         422             541            
9300900         9301317         9301864         417             547            
9400900         9401415         9401945         515             530            
9500900         9501377         9501928         477             551            
9600900         9601321         9601843         421             522            
9700900         9701387         9701939         487             552            
9800900         9801341         9801865         441             524            
9900900         9901353         9901893         453             540            
10000900        10001330        10001856        430             526            
10100900        10101360        10101903        460             543            
10200900        10201350        10201874        450             524            
10300900        10301356        10301902        456             546            
10400900        10401348        10401872        448             524            
10500900        10501383        10502099        483             716            
10600900        10601403        10601928        503             525            
10700900        10701377        10701922        477             545            
10800900        10801355        10801874        455             519            
10900900        10901385        10901933        485             548            

Total 100, priority 98, AVG 532, WCET 1013
