task_count: 100, period: 100, priority: 98
Release         Start           Finish          Latency         ExTime
1008144         1008361         1008896         217             535            
1108144         1108317         1108794         173             477            
1208144         1208311         1208860         167             549            
1308144         1308442         1308923         298             481            
1408144         1408519         1409065         375             546            
1508144         1508336         1508816         192             480            
1608144         1608340         1608860         196             520            
1708144         1708316         1708794         172             478            
1808144         1808355         1808900         211             545            
1908144         1908338         1908818         194             480            
2008144         2008367         2008882         223             515            
2108144         2108377         2108856         233             479            
2208144         2208415         2208959         271             544            
2308144         2308403         2308882         259             479            
2408144         2408386         2408902         242             516            
2508144         2508397         2508874         253             477            
2608144         2608413         2608953         269             540            
2708144         2708483         2708962         339             479            
2808144         2808413         2808891         269             478            
2908144         2908430         2908911         286             481            
3008144         3008419         3008935         275             516            
3108144         3108419         3108899         275             480            
3208144         3208438         3208918         294             480            
3308144         3308437         3308917         293             480            
3408144         3408374         3408937         230             563            
3508144         3508385         3508915         241             530            
3608144         3608383         3608903         239             520            
3708144         3708410         3708941         266             531            
3808144         3808568         3809108         424             540            
3908144         3908396         3908923         252             527            
4008144         4008413         4008940         269             527            
4108144         4108417         4108945         273             528            
4208144         4208407         4208961         263             554            
4308144         4308421         4308981         277             560            
4408144         4408428         4408955         284             527            
4508144         4508480         4509011         336             531            
4608144         4608442         4608997         298             555            
4708144         4708439         4708966         295             527            
4808144         4808424         4808960         280             536            
4908144         4908433         4908969         289             536            
5008144         5008683         5009194         539             511            
5108144         5108475         5109012         331             537            
5208144         5208424         5208954         280             530            
5308144         5308498         5309036         354             538            
5408144         5408500         5409066         356             566            
5508144         5508459         5508984         315             525            
5608144         5608506         5609037         362             531            
5708144         5708528         5709061         384             533            
5808144         5808729         5809282         585             553            
5908144         5908505         5909032         361             527            
6008144         6008562         6009099         418             537            
6108144         6108591         6109130         447             539            
6208144         6208745         6209300         601             555            
6308144         6308561         6309092         417             531            
6408144         6408522         6409047         378             525            
6508144         6508715         6509244         571             529            
6608144         6608552         6609109         408             557            
6708144         6708567         6709099         423             532            
6808144         6808572         6809103         428             531            
6908144         6908558         6909086         414             528            
7008144         7008585         7009138         441             553            
7108144         7108724         7109263         580             539            
7208144         7208673         7209206         529             533            
7308144         7308500         7309074         356             574            
7408144         7408724         7409301         580             577            
7508144         7508518         7509110         374             592            
7608144         7608737         7609268         593             531            
7708144         7708541         7709132         397             591            
7808144         7808522         7809121         378             599            
7908144         7908524         7909094         380             570            
8008144         8008703         8009229         559             526            
8108144         8108623         8109218         479             595            
8208144         8208534         8209119         390             585            
8308144         8308536         8309122         392             586            
8408144         8408567         8409159         423             592            
8508144         8508556         8509148         412             592            
8608144         8608564         8609166         420             602            
8708144         8708542         8709094         398             552            
8808144         8808578         8809170         434             592            
8908144         8908575         8909167         431             592            
9008144         9008561         9009112         417             551            
9108144         9108580         9109135         436             555            
9208144         9208946         9209477         802             531            
9308144         9308572         9309118         428             546            
9408144         9408598         9409162         454             564            
9508144         9508573         9509111         429             538            
9608144         9608599         9609151         455             552            
9708144         9708598         9709151         454             553            
9808144         9808599         9809162         455             563            
9908144         9908611         9909167         467             556            
10008144        10008600        10009146        456             546            
10108144        10108574        10109099        430             525            
10208144        10208580        10209100        436             520            
10308144        10308561        10309080        417             519            
10408144        10408567        10409087        423             520            
10508144        10508554        10509069        410             515            
10608144        10608575        10609095        431             520            
10708144        10708578        10709092        434             514            
10808144        10808580        10809094        436             514            
10908144        10908585        10909101        441             516            

Total 100, priority 98, AVG 535, WCET 602
