task_count: 100, period: 100, priority: 98
Release         Start           Finish          Latency         ExTime
1000857         1000973         1001489         116             516            
1100857         1100972         1101424         115             452            
1200857         1200977         1201436         120             459            
1300857         1300981         1301434         124             453            
1400857         1400982         1401444         125             462            
1500857         1500982         1501433         125             451            
1600857         1600985         1601442         128             457            
1700857         1700990         1701436         133             446            
1800857         1800990         1801439         133             449            
1900857         1900995         1901440         138             445            
2000857         2000999         2001462         142             463            
2100857         2101004         2101461         147             457            
2200857         2201007         2201465         150             458            
2300857         2301012         2301465         155             453            
2400857         2401013         2401462         156             449            
2500857         2501018         2501464         161             446            
2600857         2601018         2601467         161             449            
2700857         2701020         2701466         163             446            
2800857         2801024         2801475         167             451            
2900857         2901026         2901470         169             444            
3000857         3001030         3001493         173             463            
3100857         3101034         3101489         177             455            
3200857         3201037         3201498         180             461            
3300857         3301042         3301496         185             454            
3400857         3401043         3401497         186             454            
3500857         3501046         3501492         189             446            
3600857         3601050         3601498         193             448            
3700857         3701054         3701498         197             444            
3800857         3801057         3801503         200             446            
3900857         3901056         3901504         199             448            
4000857         4001061         4001521         204             460            
4100857         4101063         4101517         206             454            
4200857         4201070         4201529         213             459            
4300857         4301074         4301529         217             455            
4400857         4401074         4401529         217             455            
4500857         4501076         4501526         219             450            
4600857         4601079         4601532         222             453            
4700857         4701083         4701530         226             447            
4800857         4801086         4801538         229             452            
4900857         4901091         4901535         234             444            
5000857         5001118         5001592         261             474            
5100857         5101104         5101575         247             471            
5200857         5201102         5201570         245             468            
5300857         5301104         5301562         247             458            
5400857         5401105         5401560         248             455            
5500857         5501109         5501559         252             450            
5600857         5601112         5601567         255             455            
5700857         5701116         5701564         259             448            
5800857         5801117         5801569         260             452            
5900857         5901123         5901567         266             444            
6000857         6001130         6001591         273             461            
6100857         6101131         6101581         274             450            
6200857         6201137         6201597         280             460            
6300857         6301137         6301593         280             456            
6400857         6401139         6401601         282             462            
6500857         6501138         6501586         281             448            
6600857         6601142         6601595         285             453            
6700857         6701146         6701592         289             446            
6800857         6801151         6801602         294             451            
6900857         6901154         6901601         297             447            
7000857         7001159         7001622         302             463            
7100857         7101159         7101609         302             450            
7200857         7201163         7201622         306             459            
7300857         7301169         7301622         312             453            
7400857         7401170         7401620         313             450            
7500857         7501169         7501618         312             449            
7600857         7601176         7601627         319             451            
7700857         7701176         7701622         319             446            
7800857         7801190         7801642         333             452            
7900857         7901181         7901627         324             446            
8000857         8001189         8001651         332             462            
8100857         8101204         8101658         347             454            
8200857         8201198         8201659         341             461            
8300857         8301199         8301650         342             451            
8400857         8401202         8401655         345             453            
8500857         8501204         8501649         347             445            
8600857         8601207         8601659         350             452            
8700857         8701206         8701651         349             445            
8800857         8801213         8801668         356             455            
8900857         8901217         8901661         360             444            
9000857         9001222         9001686         365             464            
9100857         9101227         9101682         370             455            
9200857         9201227         9201688         370             461            
9300857         9301232         9301686         375             454            
9400857         9401235         9401687         378             452            
9500857         9501236         9501682         379             446            
9600857         9601241         9601692         384             451            
9700857         9701243         9701688         386             445            
9800857         9801246         9801695         389             449            
9900857         9901246         9901692         389             446            
10000857        10001252        10001715        395             463            
10100857        10101256        10101712        399             456            
10200857        10201259        10201722        402             463            
10300857        10301264        10301715        407             451            
10400857        10401266        10401719        409             453            
10500857        10501268        10501717        411             449            
10600857        10601270        10601720        413             450            
10700857        10701273        10701717        416             444            
10800857        10801279        10801727        422             448            
10900857        10901283        10901727        426             444            

Total 100, priority 98, AVG 453, WCET 516
