task_count: 100, period: 100, priority: 98
Release         Start           Finish          Latency         ExTime
1000953         1001106         1001664         153             558            
1100953         1101068         1101519         115             451            
1200953         1201111         1201606         158             495            
1300953         1301072         1301510         119             438            
1400953         1401122         1401626         169             504            
1500953         1501083         1501531         130             448            
1600953         1601122         1601604         169             482            
1700953         1701084         1701525         131             441            
1800953         1801089         1801597         136             508            
1900953         1901088         1901529         135             441            
2000953         2001093         2001606         140             513            
2100953         2101100         2101548         147             448            
2200953         2201107         2201633         154             526            
2300953         2301105         2301546         152             441            
2400953         2401114         2401643         161             529            
2500953         2501110         2501561         157             451            
2600953         2601118         2601637         165             519            
2700953         2701117         2701554         164             437            
2800953         2801123         2801608         170             485            
2900953         2901132         2901573         179             441            
3000953         3001127         3001617         174             490            
3100953         3101133         3101582         180             449            
3200953         3201149         3201650         196             501            
3300953         3301135         3301575         182             440            
3400953         3401142         3401639         189             497            
3500953         3501143         3501596         190             453            
3600953         3601161         3601652         208             491            
3700953         3701147         3701583         194             436            
3800953         3801157         3801644         204             487            
3900953         3901156         3901593         203             437            
4000953         4001163         4001645         210             482            
4100953         4101163         4101651         210             488            
4200953         4201184         4201682         231             498            
4300953         4301165         4301601         212             436            
4400953         4401173         4401669         220             496            
4500953         4501172         4501623         219             451            
4600953         4601177         4601666         224             489            
4700953         4701179         4701616         226             437            
4800953         4801185         4801671         232             486            
4900953         4901187         4901625         234             438            
5000953         5001189         5001675         236             486            
5100953         5101197         5101649         244             452            
5200953         5201204         5201702         251             498            
5300953         5301195         5301638         242             443            
5400953         5401201         5401690         248             489            
5500953         5501204         5501657         251             453            
5600953         5601204         5601691         251             487            
5700953         5701209         5701648         256             439            
5800953         5801214         5801696         261             482            
5900953         5901222         5901693         269             471            
6000953         6001221         6001718         268             497            
6100953         6101237         6101690         284             453            
6200953         6201249         6201750         296             501            
6300953         6301233         6301674         280             441            
6400953         6401231         6401680         278             449            
6500953         6501237         6501690         284             453            
6600953         6601238         6601688         285             450            
6700953         6701239         6701678         286             439            
6800953         6801254         6801701         301             447            
6900953         6901248         6901692         295             444            
7000953         7001250         7001696         297             446            
7100953         7101266         7101714         313             448            
7200953         7201274         7201732         321             458            
7300953         7301259         7301699         306             440            
7400953         7401284         7401747         331             463            
7500953         7501268         7501717         315             449            
7600953         7601270         7601715         317             445            
7700953         7701272         7701711         319             439            
7800953         7801277         7801723         324             446            
7900953         7901280         7901722         327             442            
8000953         8001284         8001729         331             445            
8100953         8101291         8101739         338             448            
8200953         8201299         8201744         346             445            
8300953         8301293         8301748         340             455            
8400953         8401312         8401766         359             454            
8500953         8501301         8501752         348             451            
8600953         8601315         8601759         362             444            
8700953         8701307         8701748         354             441            
8800953         8801323         8801766         370             443            
8900953         8901312         8901753         359             441            
9000953         9001324         9001769         371             445            
9100953         9101330         9101779         377             449            
9200953         9201330         9201774         377             444            
9300953         9301353         9301806         400             453            
9400953         9401357         9401806         404             449            
9500953         9501359         9501812         406             453            
9600953         9601345         9601793         392             448            
9700953         9701361         9701801         408             440            
9800953         9801353         9801797         400             444            
9900953         9901376         9901816         423             440            
10000953        10001358        10001802        405             444            
10100953        10101391        10101841        438             450            
10200953        10201361        10201808        408             447            
10300953        10301416        10301867        463             451            
10400953        10401374        10401825        421             451            
10500953        10501405        10501883        452             478            
10600953        10601374        10601821        421             447            
10700953        10701408        10701872        455             464            
10800953        10801385        10801828        432             443            
10900953        10901420        10901890        467             470            

Total 100, priority 98, AVG 461, WCET 558
